scenario,light_mode,n_seeds,avg_travel_mean,avg_travel_ci95,avg_wait_mean,avg_wait_ci95,avg_reservation_wait_mean,avg_reservation_wait_ci95,avg_utility_mean,avg_utility_ci95
VS-13,adaptive,10,27.08781250000004,2.986765942608446,12.344062500000023,1.9045612180962468,11.015625000000014,1.4840808792025326,0.7836725747843858,0.011842438470702897
VS-13,adaptive,15,25.7233333333334,2.4181674340412838,11.406041666666685,1.6339936733700222,10.272291666666677,1.3486349865614184,0.7931690090446051,0.013307989938488852
VS-13,adaptive,20,25.12140625000008,1.8891827404336574,11.044687500000014,1.265049435729084,10.002812500000008,1.0590223861442414,0.7940396531389305,0.009883461929907189
VS-13,adaptive,25,26.001125000000062,1.8249846531736407,11.51337500000002,1.1611388347041933,10.431500000000012,0.9448045158637365,0.7932225161789164,0.00819415413649119
VS-13,adaptive,30,26.091666666666722,1.762139585589273,11.516770833333352,1.1176262172434765,10.499583333333346,0.9558584798578411,0.7931142608444858,0.007040871175366074
VS-13,fixed,5,29.72937500000004,2.146414618798376,14.923750000000018,1.725785415641585,13.477500000000015,1.8630666226416737,0.7643369078229296,0.010878324673984736
VS-13,fixed,10,29.703750000000014,3.81804832220712,15.157812500000023,2.501163771113591,13.413750000000016,2.06547967545358,0.7581653585864376,0.010264027741377166
VS-13,fixed,15,28.946250000000017,2.567716157609842,14.653333333333356,1.7154903872292837,13.193541666666682,1.3652254399751418,0.7632829808591052,0.010947508334676384
VS-13,fixed,20,28.066250000000046,2.0581367913863606,14.203281250000021,1.3773909553906125,12.821718750000013,1.1033772830390791,0.7651524944075719,0.008995960516965228
VS-13,fixed,25,28.71950000000004,1.8747494256233517,14.733625000000025,1.3357187762781377,13.237625000000019,1.0718335333921776,0.7625758818712921,0.009345431406933254
VS-13,fixed,30,29.11093750000003,1.717567624981528,15.030416666666694,1.1881092818749925,13.44729166666669,0.930302046311439,0.759742421671421,0.008453823487045159
VS-14,adaptive,5,27.72799999999963,3.3108197514117914,13.432727272727305,3.1644050152161514,11.711636363636387,2.3280058702049398,0.7780665788882895,0.02381943708848306
VS-14,adaptive,10,28.20781818181781,1.8746934138036369,13.896363636363674,1.586233655579296,12.274909090909118,1.304368342362766,0.7760406478283575,0.012152821720836473
VS-14,adaptive,15,27.530909090908736,1.5709647573405063,13.270787878787912,1.2986930495445754,11.762424242424267,1.099433170979781,0.7815351190719201,0.010287478988233078
VS-14,adaptive,20,27.35499999999964,1.241792577745061,13.140727272727304,0.9826178902922852,11.658000000000023,0.8319301855483052,0.7814613758500367,0.007774982832137256
VS-14,adaptive,25,28.22145454545416,1.366795308636385,13.648436363636398,1.0023482796944283,12.041018181818206,0.7893377329316124,0.7796857758028607,0.00697506660586202
VS-14,adaptive,30,28.36436363636325,1.44756526602926,13.780121212121248,1.1021361921372215,12.151575757575783,0.8496454548866651,0.7787927685176326,0.006831595291964407
VS-14,fixed,5,31.607636363635844,4.4672637731052145,16.904000000000046,3.518200411850791,14.580000000000036,2.8647440649970597,0.7579187754663584,0.007277354082661924
VS-14,fixed,10,30.171454545454093,3.5715826209690045,16.00727272727277,2.627712500660236,13.904727272727303,1.9191408873807454,0.760026271471403,0.007415932174578261
VS-14,fixed,15,29.67903030302987,2.5567031081695326,15.728000000000035,1.9520071824952625,13.776848484848513,1.4645973561395507,0.761444764823983,0.007957344840024656
VS-14,fixed,20,29.422545454545038,1.8779962723629633,15.529636363636403,1.4388756180026911,13.650545454545485,1.083511343662211,0.7622034070321762,0.005900812055937498
VS-14,fixed,25,30.373090909090458,1.9657687575131324,16.17869090909095,1.4781265850328373,14.181018181818212,1.142862557130386,0.7598395266129191,0.006520698559124889
VS-14,fixed,30,30.342666666666215,1.6438808353629786,16.14236363636368,1.231902204290128,14.109272727272756,0.9472427242040131,0.7587325450779925,0.0058719872460830415
