scenario,label,light_mode,seed,avg_travel,min_travel,max_travel,avg_wait,min_wait,max_wait,avg_reservation_wait,min_reservation_wait,max_reservation_wait,avg_utility,min_utility,max_utility,collisions,completed_trips,vehicles_spawned
VS-13,Priority-Based Overtaking,fixed,1028,34.92812499999988,12.80000000000013,121.29999999999562,18.334375000000023,4.100000000000001,73.6000000000001,16.318750000000023,1.4000000000000001,73.6000000000001,0.7246813848316254,0.5359893048128334,0.9399999999999996,0,32,32
VS-13,Priority-Based Overtaking,fixed,1029,27.146875000000215,4.799999999999985,51.09999999999934,14.993750000000029,0.0,32.30000000000019,13.09062500000002,0.0,32.30000000000019,0.7612024522133978,0.5201086956521727,1.0,0,32,32
VS-14,Mixed Emergency Traffic,fixed,1000,30.670909090908598,2.899999999999835,115.49999999999518,15.850909090909134,0.0,47.70000000000041,13.430909090909116,0.0,41.800000000000324,0.7573012597283366,0.4681754385964886,1.0,1,55,55
VS-14,Mixed Emergency Traffic,fixed,1001,33.6236363636358,2.899999999999835,90.6999999999976,18.803636363636436,0.0,54.2000000000005,15.585454545454592,0.0,49.600000000000435,0.7566491495680673,0.5237230769230775,1.0,1,55,55
VS-14,Mixed Emergency Traffic,fixed,1002,36.609090909090064,4.799999999999983,147.09999999999522,20.869090909091003,0.0,80.19999999999972,18.16909090909099,0.0,56.600000000000534,0.7526266798749465,0.5454263565891486,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1003,27.27636363636341,4.800000000000068,77.29999999999916,14.276363636363646,0.0,45.70000000000038,12.589090909090913,0.0,45.70000000000038,0.7551195932917054,0.6165053763440849,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1004,29.858181818181357,4.5999999999997385,77.69999999999622,14.72000000000003,0.0,45.00000000000037,13.125454545454568,0.0,45.00000000000037,0.7678971948687368,0.5948175182481769,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1005,24.88181818181792,3.2999999999998124,96.29999999999576,12.227272727272739,0.0,49.000000000000426,11.012727272727282,0.0,49.000000000000426,0.7646888061214873,0.5011340206185548,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1006,39.263636363635605,4.800000000000068,129.29999999999688,22.930909090909207,0.0,67.60000000000043,18.40000000000008,0.0,62.70000000000062,0.7387299699581017,0.587312414733968,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1007,25.89272727272702,2.899999999999835,73.9999999999965,12.954545454545471,0.0,44.40000000000036,11.996363636363649,0.0,44.40000000000036,0.7766662749588382,0.6371584699453549,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1008,29.14545454545421,2.899999999999835,102.69999999999463,15.003636363636394,0.0,58.90000000000057,13.830909090909113,0.0,51.40000000000046,0.7653097377000295,0.6169914040114637,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1009,24.492727272726956,5.499999999999982,87.69999999999514,12.436363636363648,0.0,57.00000000000054,10.907272727272739,0.0,55.200000000000514,0.7652740486437816,0.5240236686390525,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1010,25.176363636363416,2.899999999999835,84.69999999999752,12.565454545454553,0.0,45.50000000000038,11.496363636363638,0.0,45.50000000000038,0.7706706193000122,0.5400561797752798,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1011,35.40727272727199,2.899999999999835,108.699999999997,21.11454545454552,0.0,73.00000000000013,18.34363636363642,0.0,72.10000000000018,0.7323023324173166,0.5798026315789461,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1012,27.43090909090876,4.799999999999995,90.19999999999568,13.885454545454575,0.0,54.500000000000504,12.16909090909093,0.0,51.90000000000047,0.7771708609902682,0.5984112149532714,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1013,29.44363636363589,4.799999999999985,81.99999999999767,15.603636363636399,0.0,41.40000000000032,13.900000000000029,0.0,41.40000000000032,0.7540085115318904,0.558571428571429,1.0,0,55,55
